datetime,temperature,humidity,dewpoint,pressure,precipitation,rain,cloud_cover,wind_speed,wind_direction,wind_gusts,solar_radiation,direct_radiation,diffuse_radiation
2019-01-01 00:00:00,8.8,84,6.2,994.6,0.0,0.0,0,8.8,279,11.9,0.0,0.0,0.0
2019-01-01 01:00:00,8.1,86,5.8,994.3,0.0,0.0,0,8.9,284,12.2,0.0,0.0,0.0
2019-01-01 02:00:00,7.6,87,5.5,993.9,0.0,0.0,0,8.4,280,11.9,0.0,0.0,0.0
2019-01-01 03:00:00,7.3,88,5.4,993.7,0.0,0.0,0,7.2,276,10.8,0.0,0.0,0.0
2019-01-01 04:00:00,7.1,88,5.2,993.0,0.0,0.0,0,6.1,270,10.4,0.0,0.0,0.0
2019-01-01 05:00:00,5.9,92,4.7,993.4,0.0,0.0,0,6.5,273,10.1,0.0,0.0,0.0
2019-01-01 06:00:00,6.2,91,4.8,993.7,0.0,0.0,0,5.9,259,10.1,0.0,0.0,0.0
2019-01-01 07:00:00,6.0,92,4.8,994.6,0.0,0.0,0,7.9,254,12.6,2.0,0.0,2.0
2019-01-01 08:00:00,8.7,83,5.9,995.9,0.0,0.0,0,10.0,255,18.0,82.0,38.0,44.0
2019-01-01 09:00:00,12.2,72,7.2,996.7,0.0,0.0,0,6.9,264,18.0,247.0,158.0,89.0
2019-01-01 10:00:00,15.2,63,8.1,996.9,0.0,0.0,0,5.8,270,16.9,407.0,294.0,113.0
2019-01-01 11:00:00,17.5,54,8.2,996.0,0.0,0.0,0,6.5,276,18.7,526.0,398.0,128.0
2019-01-01 12:00:00,18.9,48,7.6,995.1,0.0,0.0,0,7.0,291,19.8,585.0,450.0,135.0
2019-01-01 13:00:00,19.8,45,7.4,994.1,0.0,0.0,0,6.8,302,19.8,576.0,441.0,135.0
2019-01-01 14:00:00,20.2,44,7.7,993.5,0.0,0.0,0,6.9,309,19.1,502.0,375.0,127.0
2019-01-01 15:00:00,20.1,45,7.9,993.2,0.0,0.0,16,6.4,313,18.4,374.0,263.0,111.0
2019-01-01 16:00:00,19.1,55,10.0,993.2,0.0,0.0,50,3.0,346,15.1,207.0,119.0,88.0
2019-01-01 17:00:00,18.6,51,8.1,993.2,0.0,0.0,19,4.6,39,7.6,50.0,17.0,33.0
2019-01-01 18:00:00,17.6,54,8.2,993.8,0.0,0.0,0,3.6,53,5.8,0.0,0.0,0.0
2019-01-01 19:00:00,16.9,56,8.1,993.9,0.0,0.0,0,5.0,69,5.4,0.0,0.0,0.0
2019-01-01 20:00:00,12.5,75,8.2,993.7,0.0,0.0,2,8.6,90,9.4,0.0,0.0,0.0
2019-01-01 21:00:00,11.0,83,8.3,993.8,0.0,0.0,28,9.4,94,11.5,0.0,0.0,0.0
2019-01-01 22:00:00,10.4,87,8.3,994.2,0.0,0.0,4,9.2,101,11.5,0.0,0.0,0.0
2019-01-01 23:00:00,9.8,86,7.7,994.3,0.0,0.0,7,10.2,122,12.2,0.0,0.0,0.0
2019-01-02 00:00:00,9.5,87,7.5,994.2,0.0,0.0,36,10.5,131,12.2,0.0,0.0,0.0
2019-01-02 01:00:00,9.7,86,7.5,993.7,0.0,0.0,54,8.9,133,12.2,0.0,0.0,0.0
2019-01-02 02:00:00,10.0,86,7.9,993.5,0.0,0.0,55,6.8,115,11.2,0.0,0.0,0.0
2019-01-02 03:00:00,9.4,89,7.8,993.1,0.0,0.0,37,6.0,107,10.8,0.0,0.0,0.0
2019-01-02 04:00:00,8.4,92,7.2,992.8,0.0,0.0,28,8.0,98,10.4,0.0,0.0,0.0
